% function evaluation | noise-free fitness - Fopt (7.627000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.805746274e+006 +4.805746274e+006 +4.805822544e+006 +4.805822544e+006
9 +2.177757838e+006 +2.177757838e+006 +2.177834108e+006 +2.177834108e+006
12 +2.409732573e+005 +2.409732573e+005 +2.410495273e+005 +2.410495273e+005
20 +2.194199177e+004 +2.194199177e+004 +2.201826177e+004 +2.201826177e+004
22 +4.371804903e+003 +4.371804903e+003 +4.448074903e+003 +4.448074903e+003
138 +3.109904547e+003 +3.109904547e+003 +3.186174547e+003 +3.186174547e+003
192 +1.478404349e+003 +1.478404349e+003 +1.554674349e+003 +1.554674349e+003
195 +8.938086620e+002 +8.938086620e+002 +9.700786620e+002 +9.700786620e+002
394 +7.008655856e+002 +7.008655856e+002 +7.771355856e+002 +7.771355856e+002
414 +6.888300981e+002 +6.888300981e+002 +7.651000981e+002 +7.651000981e+002
215801 +1.#INF00000e+000 +6.888300981e+002 +1.#INF00000e+000 +7.651000981e+002
% function evaluation | noise-free fitness - Fopt (-2.255000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.133476312e+007 +3.133476312e+007 +3.133474057e+007 +3.133474057e+007
2 +1.305656578e+006 +1.305656578e+006 +1.305634028e+006 +1.305634028e+006
9 +3.924947268e+004 +3.924947268e+004 +3.922692268e+004 +3.922692268e+004
20 +4.275093374e+003 +4.275093374e+003 +4.252543374e+003 +4.252543374e+003
81 +3.698979707e+003 +3.698979707e+003 +3.676429707e+003 +3.676429707e+003
133 +2.014965241e+003 +2.014965241e+003 +1.992415241e+003 +1.992415241e+003
277 +1.424791217e+003 +1.424791217e+003 +1.402241217e+003 +1.402241217e+003
977 +1.346283159e+003 +1.346283159e+003 +1.323733159e+003 +1.323733159e+003
214266 +1.#INF00000e+000 +1.346283159e+003 +1.#INF00000e+000 +1.323733159e+003
% function evaluation | noise-free fitness - Fopt (1.366000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
