% function evaluation | noise-free fitness - Fopt (-4.620900000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
180 +6.497802037e+000 +6.497802037e+000 +8.415780204e+001 +8.415780204e+001 +5.2775e-001 -1.4006e+000 -1.2785e+000
433 +5.030456093e+000 +5.030456093e+000 +8.269045609e+001 +8.269045609e+001 +2.4975e+000 -2.9490e-001 -1.2362e+000
595 +3.288542298e+000 +3.288542298e+000 +8.094854230e+001 +8.094854230e+001 +3.3732e+000 -3.0678e-001 -1.2943e+000
606 +2.457620098e+000 +2.457620098e+000 +8.011762010e+001 +8.011762010e+001 +3.3825e+000 -3.0078e-001 -1.2838e+000
646 +2.227770879e+000 +2.227770879e+000 +7.988777088e+001 +7.988777088e+001 +3.3964e+000 -2.9727e-001 -1.2657e+000
650 +2.157478574e+000 +2.157478574e+000 +7.981747857e+001 +7.981747857e+001 +3.4017e+000 -3.1456e-001 -1.2653e+000
759 +2.106906013e+000 +2.106906013e+000 +7.976690601e+001 +7.976690601e+001 +3.4033e+000 -3.0414e-001 -1.2661e+000
764 +1.991645140e+000 +1.991645140e+000 +7.965164514e+001 +7.965164514e+001 +3.3957e+000 -3.0790e-001 -1.2711e+000
% function evaluation | noise-free fitness - Fopt (1.156800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.597376400e+002 +2.597376400e+002 +3.754176400e+002 +3.754176400e+002 +5.1124e+000 -3.6170e+000 +2.8695e+000
3 +2.148912467e+002 +2.148912467e+002 +3.305712467e+002 +3.305712467e+002 +4.4750e+000 -4.0337e+000 +2.6832e+000
4 +9.194796516e+001 +9.194796516e+001 +2.076279652e+002 +2.076279652e+002 +4.5922e+000 -2.1227e+000 +1.8560e+000
5 +8.487873678e+001 +8.487873678e+001 +2.005587368e+002 +2.005587368e+002 +3.8442e+000 -3.9578e+000 +1.3698e-001
23 +5.577637734e+001 +5.577637734e+001 +1.714563773e+002 +1.714563773e+002 +3.2875e+000 -2.0692e+000 +8.6159e-001
46 +3.246909704e+001 +3.246909704e+001 +1.481490970e+002 +1.481490970e+002 +2.0179e+000 -8.9073e-001 +6.5840e-001
71 +2.672321463e+001 +2.672321463e+001 +1.424032146e+002 +1.424032146e+002 +2.8165e+000 -9.4838e-001 -6.0392e-002
