% function evaluation | noise-free fitness - Fopt (-1.025500000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1819 +1.770740302e+001 +1.770740302e+001 +8.939740302e+001 +8.939740302e+001
2023 +1.724210948e+001 +1.724210948e+001 +8.893210948e+001 +8.893210948e+001
2053 +1.489983167e+001 +1.489983167e+001 +8.658983167e+001 +8.658983167e+001
2188 +1.475728773e+001 +1.475728773e+001 +8.644728773e+001 +8.644728773e+001
2426 +1.394345524e+001 +1.394345524e+001 +8.563345524e+001 +8.563345524e+001
2467 +1.368221684e+001 +1.368221684e+001 +8.537221684e+001 +8.537221684e+001
2473 +1.323830987e+001 +1.323830987e+001 +8.492830987e+001 +8.492830987e+001
2695 +1.209713106e+001 +1.209713106e+001 +8.378713106e+001 +8.378713106e+001
2782 +1.190209948e+001 +1.190209948e+001 +8.359209948e+001 +8.359209948e+001
2821 +1.114753489e+001 +1.114753489e+001 +8.283753489e+001 +8.283753489e+001
3100 +1.094059668e+001 +1.094059668e+001 +8.263059668e+001 +8.263059668e+001
3221 +1.052057576e+001 +1.052057576e+001 +8.221057576e+001 +8.221057576e+001
3279 +1.014693933e+001 +1.014693933e+001 +8.183693933e+001 +8.183693933e+001
3422 +9.952300334e+000 +9.952300334e+000 +8.164230033e+001 +8.164230033e+001
3666 +9.529506830e+000 +9.529506830e+000 +8.121950683e+001 +8.121950683e+001
4167 +8.069106979e+000 +8.069106979e+000 +7.975910698e+001 +7.975910698e+001
4803 +7.479281889e+000 +7.479281889e+000 +7.916928189e+001 +7.916928189e+001
8963 +7.259978604e+000 +7.259978604e+000 +7.894997860e+001 +7.894997860e+001
12140 +7.219924086e+000 +7.219924086e+000 +7.890992409e+001 +7.890992409e+001
14617 +7.030852160e+000 +7.030852160e+000 +7.872085216e+001 +7.872085216e+001
20573 +6.700934235e+000 +6.700934235e+000 +7.839093424e+001 +7.839093424e+001
123520 +6.504909602e+000 +6.504909602e+000 +7.819490960e+001 +7.819490960e+001
156593 +6.119856361e+000 +6.119856361e+000 +7.780985636e+001 +7.780985636e+001
333534 +5.598815110e+000 +5.598815110e+000 +7.728881511e+001 +7.728881511e+001
% function evaluation | noise-free fitness - Fopt (2.140100000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.127680008e+002 +1.127680008e+002 +3.267780008e+002 +3.267780008e+002
2 +9.938204129e+001 +9.938204129e+001 +3.133920413e+002 +3.133920413e+002
3 +9.708566786e+001 +9.708566786e+001 +3.110956679e+002 +3.110956679e+002
42 +9.251317791e+001 +9.251317791e+001 +3.065231779e+002 +3.065231779e+002
163 +9.082859705e+001 +9.082859705e+001 +3.048385971e+002 +3.048385971e+002
214 +8.514878924e+001 +8.514878924e+001 +2.991587892e+002 +2.991587892e+002
231 +8.317040692e+001 +8.317040692e+001 +2.971804069e+002 +2.971804069e+002
238 +8.029193575e+001 +8.029193575e+001 +2.943019357e+002 +2.943019357e+002
308 +7.811944195e+001 +7.811944195e+001 +2.921294420e+002 +2.921294420e+002
343 +7.461776237e+001 +7.461776237e+001 +2.886277624e+002 +2.886277624e+002
408 +6.178845662e+001 +6.178845662e+001 +2.757984566e+002 +2.757984566e+002
412 +5.919231306e+001 +5.919231306e+001 +2.732023131e+002 +2.732023131e+002
438 +5.764221284e+001 +5.764221284e+001 +2.716522128e+002 +2.716522128e+002
609 +4.867464084e+001 +4.867464084e+001 +2.626846408e+002 +2.626846408e+002
818 +4.751731108e+001 +4.751731108e+001 +2.615273111e+002 +2.615273111e+002
903 +4.484781671e+001 +4.484781671e+001 +2.588578167e+002 +2.588578167e+002
910 +3.986898537e+001 +3.986898537e+001 +2.538789854e+002 +2.538789854e+002
1024 +3.517652544e+001 +3.517652544e+001 +2.491865254e+002 +2.491865254e+002
1165 +3.350757034e+001 +3.350757034e+001 +2.475175703e+002 +2.475175703e+002
1382 +3.237334148e+001 +3.237334148e+001 +2.463833415e+002 +2.463833415e+002
1404 +3.121888561e+001 +3.121888561e+001 +2.452288856e+002 +2.452288856e+002
1443 +2.654842836e+001 +2.654842836e+001 +2.405584284e+002 +2.405584284e+002
1607 +2.530047499e+001 +2.530047499e+001 +2.393104750e+002 +2.393104750e+002
1615 +2.436039258e+001 +2.436039258e+001 +2.383703926e+002 +2.383703926e+002
1720 +2.368706132e+001 +2.368706132e+001 +2.376970613e+002 +2.376970613e+002
1828 +2.027851898e+001 +2.027851898e+001 +2.342885190e+002 +2.342885190e+002
1894 +1.911509225e+001 +1.911509225e+001 +2.331250922e+002 +2.331250922e+002
2040 +1.755774616e+001 +1.755774616e+001 +2.315677462e+002 +2.315677462e+002
2042 +1.639547942e+001 +1.639547942e+001 +2.304054794e+002 +2.304054794e+002
2303 +1.586497757e+001 +1.586497757e+001 +2.298749776e+002 +2.298749776e+002
2404 +1.479632796e+001 +1.479632796e+001 +2.288063280e+002 +2.288063280e+002
