% function evaluation | noise-free fitness - Fopt (7.627000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.840547655e+007 +2.840547655e+007 +2.840555282e+007 +2.840555282e+007
2 +4.441641281e+006 +4.441641281e+006 +4.441717551e+006 +4.441717551e+006
3 +1.021482472e+006 +1.021482472e+006 +1.021558742e+006 +1.021558742e+006
4 +2.678836350e+004 +2.678836350e+004 +2.686463350e+004 +2.686463350e+004
16 +1.946839530e+004 +1.946839530e+004 +1.954466530e+004 +1.954466530e+004
19 +4.498923850e+003 +4.498923850e+003 +4.575193850e+003 +4.575193850e+003
105 +2.199395102e+003 +2.199395102e+003 +2.275665102e+003 +2.275665102e+003
210 +1.230244811e+003 +1.230244811e+003 +1.306514811e+003 +1.306514811e+003
338 +1.047064508e+003 +1.047064508e+003 +1.123334508e+003 +1.123334508e+003
593 +9.309466502e+002 +9.309466502e+002 +1.007216650e+003 +1.007216650e+003
1002 +8.950272647e+002 +8.950272647e+002 +9.712972647e+002 +9.712972647e+002
221167 +1.#INF00000e+000 +8.950272647e+002 +1.#INF00000e+000 +9.712972647e+002
% function evaluation | noise-free fitness - Fopt (-2.255000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.127352142e+007 +7.127352142e+007 +7.127349887e+007 +7.127349887e+007
2 +1.372988976e+007 +1.372988976e+007 +1.372986721e+007 +1.372986721e+007
6 +5.028363768e+005 +5.028363768e+005 +5.028138268e+005 +5.028138268e+005
43 +3.456854626e+005 +3.456854626e+005 +3.456629126e+005 +3.456629126e+005
75 +2.256769709e+005 +2.256769709e+005 +2.256544209e+005 +2.256544209e+005
85 +8.306883133e+004 +8.306883133e+004 +8.304628133e+004 +8.304628133e+004
227 +3.365278965e+003 +3.365278965e+003 +3.342728965e+003 +3.342728965e+003
421 +2.231729776e+003 +2.231729776e+003 +2.209179776e+003 +2.209179776e+003
434 +8.152187176e+002 +8.152187176e+002 +7.926687176e+002 +7.926687176e+002
220367 +1.#INF00000e+000 +8.152187176e+002 +1.#INF00000e+000 +7.926687176e+002
% function evaluation | noise-free fitness - Fopt (1.366000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.550974707e+007 +2.550974707e+007 +2.550976073e+007 +2.550976073e+007
2 +3.908483655e+005 +3.908483655e+005 +3.908620255e+005 +3.908620255e+005
17 +4.912534056e+004 +4.912534056e+004 +4.913900056e+004 +4.913900056e+004
31 +1.043975282e+004 +1.043975282e+004 +1.045341282e+004 +1.045341282e+004
52 +1.703047938e+003 +1.703047938e+003 +1.716707938e+003 +1.716707938e+003
270 +1.497874329e+003 +1.497874329e+003 +1.511534329e+003 +1.511534329e+003
441 +5.298831405e+002 +5.298831405e+002 +5.435431405e+002 +5.435431405e+002
217861 +1.#INF00000e+000 +5.298831405e+002 +1.#INF00000e+000 +5.435431405e+002
% function evaluation | noise-free fitness - Fopt (9.378400000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.883665273e+007 +2.883665273e+007 +2.883759057e+007 +2.883759057e+007
2 +1.020275168e+007 +1.020275168e+007 +1.020368952e+007 +1.020368952e+007
10 +2.659183231e+006 +2.659183231e+006 +2.660121071e+006 +2.660121071e+006
21 +1.326591765e+005 +1.326591765e+005 +1.335970165e+005 +1.335970165e+005
84 +7.870635950e+002 +7.870635950e+002 +1.724903595e+003 +1.724903595e+003
214065 +1.#INF00000e+000 +7.870635950e+002 +1.#INF00000e+000 +1.724903595e+003
% function evaluation | noise-free fitness - Fopt (-7.872000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.123555827e+006 +8.123555827e+006 +8.123477107e+006 +8.123477107e+006
3 +4.982579652e+005 +4.982579652e+005 +4.981792452e+005 +4.981792452e+005
