% function evaluation | noise-free fitness - Fopt (-9.210000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.550268022e+001 +7.550268022e+001 +6.629268022e+001 +6.629268022e+001 -1.6083e+000 -1.8894e+000
4 +7.270053575e+001 +7.270053575e+001 +6.349053575e+001 +6.349053575e+001 -1.5177e+000 -1.6183e+000
5 +5.122930201e+001 +5.122930201e+001 +4.201930201e+001 +4.201930201e+001 -1.6606e+000 +5.4313e-001
10 +1.771982420e+001 +1.771982420e+001 +8.509824196e+000 +8.509824196e+000 -1.2720e+001 +2.0912e+001
11 +1.279232962e+001 +1.279232962e+001 +3.582329621e+000 +3.582329621e+000 -7.7923e+000 +1.0727e+001
13 +4.152280087e+000 +4.152280087e+000 -5.057719913e+000 -5.057719913e+000 +8.4772e-001 +2.0128e+001
24 +3.198321951e+000 +3.198321951e+000 -6.011678049e+000 -6.011678049e+000 +1.8017e+000 +1.9266e+001
26 +0.000000000e+000 +0.000000000e+000 -9.210000000e+000 -9.210000000e+000 +6.1027e+000 +1.1610e+002
63524 +1.#INF00000e+000 +0.000000000e+000 +1.#INF00000e+000 -9.210000000e+000 +1.1636e+308 -2.0285e+307
% function evaluation | noise-free fitness - Fopt (6.559900000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.960201095e+001 +6.960201095e+001 +7.255920109e+002 +7.255920109e+002 -2.2694e+000 +1.2333e+000
2 +5.800060197e+001 +5.800060197e+001 +7.139906020e+002 +7.139906020e+002 +1.0965e+000 +4.0971e-001
4 +5.390499221e+001 +5.390499221e+001 +7.098949922e+002 +7.098949922e+002 -3.0036e+000 -4.0986e-001
13 +5.003208704e+001 +5.003208704e+001 +7.060220870e+002 +7.060220870e+002 -1.5922e+000 -6.5601e-001
19 +3.071883729e+001 +3.071883729e+001 +6.867088373e+002 +6.867088373e+002 -8.1573e-001 -2.5097e+000
34 +1.480774769e+001 +1.480774769e+001 +6.707977477e+002 +6.707977477e+002 -6.5689e-001 -4.0849e+000
44 +2.075419220e+000 +2.075419220e+000 +6.580654192e+002 +6.580654192e+002 +2.9246e+000 -5.2291e+000
52 +0.000000000e+000 +0.000000000e+000 +6.559900000e+002 +6.559900000e+002 +1.2174e+001 -3.8065e+001
61341 +1.#INF00000e+000 +0.000000000e+000 +1.#INF00000e+000 +6.559900000e+002 +1.4262e+308 +1.8300e+307
% function evaluation | noise-free fitness - Fopt (6.671000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.189177743e+000 +6.189177743e+000 +7.289917774e+001 +7.289917774e+001 -2.2176e+001 -4.3811e+000
11 +2.663260232e+000 +2.663260232e+000 +6.937326023e+001 +6.937326023e+001 -2.3367e+000 -7.5500e+000
14 +0.000000000e+000 +0.000000000e+000 +6.671000000e+001 +6.671000000e+001 -1.1978e+002 -1.0412e+001
% function evaluation | noise-free fitness - Fopt (9.416700000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
