% function evaluation | noise-free fitness - Fopt (6.870000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
248 +2.575153456e+000 +2.575153456e+000 -4.185484654e+001 -4.185484654e+001 +1.2204e+000 +4.9537e+000
% function evaluation | noise-free fitness - Fopt (-3.845400000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.439950868e+001 +7.439950868e+001 -3.101404913e+002 -3.101404913e+002 -1.8987e+000 +1.5223e+000
2 +7.180942417e+001 +7.180942417e+001 -3.127305758e+002 -3.127305758e+002 -4.2185e+000 +2.3627e+000
4 +5.285345072e+001 +5.285345072e+001 -3.316865493e+002 -3.316865493e+002 -2.1792e+000 +1.5275e+000
5 +1.767122350e+001 +1.767122350e+001 -3.668687765e+002 -3.668687765e+002 -2.3530e+000 +1.4759e+000
6 +1.178960983e+001 +1.178960983e+001 -3.727503902e+002 -3.727503902e+002 -1.6385e+000 +2.3411e+000
100 +1.027519532e+001 +1.027519532e+001 -3.742648047e+002 -3.742648047e+002 -2.8183e+000 +2.0364e+000
124 +4.868845574e+000 +4.868845574e+000 -3.796711544e+002 -3.796711544e+002 -2.7910e+000 -3.3227e+000
149 +3.969374963e+000 +3.969374963e+000 -3.805706250e+002 -3.805706250e+002 -2.6252e+000 +1.7060e+000
378 +2.319943691e+000 +2.319943691e+000 -3.822200563e+002 -3.822200563e+002 -5.4362e+000 +1.5652e+000
403 +1.965817620e+000 +1.965817620e+000 -3.825741824e+002 -3.825741824e+002 -4.7693e+000 -2.0967e+000
886 +1.435469990e+000 +1.435469990e+000 -3.831045300e+002 -3.831045300e+002 -1.6198e+000 +1.7050e-001
3197 +1.620146704e-001 +1.620146704e-001 -3.843779853e+002 -3.843779853e+002 -5.8422e-001 -4.9040e-001
% function evaluation | noise-free fitness - Fopt (-6.071200000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.617580720e+001 +5.617580720e+001 -5.509441928e+002 -5.509441928e+002 +2.2602e+000 +2.5493e+000
2 +6.001714567e+000 +6.001714567e+000 -6.011182854e+002 -6.011182854e+002 +3.9427e+000 +3.3469e+000
248 +3.878646744e+000 +3.878646744e+000 -6.032413533e+002 -6.032413533e+002 -4.8478e+000 +5.8704e+000
628 +1.379488611e+000 +1.379488611e+000 -6.057405114e+002 -6.057405114e+002 -1.7399e+000 +1.1971e+000
5136 +6.663725063e-001 +6.663725063e-001 -6.064536275e+002 -6.064536275e+002 -1.3816e+000 +3.7045e-001
12054 +1.563122953e-001 +1.563122953e-001 -6.069636877e+002 -6.069636877e+002 +4.0556e+000 +4.2157e-001
% function evaluation | noise-free fitness - Fopt (-2.955000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.442346743e+001 +4.442346743e+001 +1.487346743e+001 +1.487346743e+001 +2.7547e+000 +2.7563e+000
5 +2.969593789e+001 +2.969593789e+001 +1.459378917e-001 +1.459378917e-001 +4.0941e+000 +2.8899e+000
9 +2.654531478e+001 +2.654531478e+001 -3.004685221e+000 -3.004685221e+000 +3.7515e+000 +2.2277e+000
10 +2.125785548e+001 +2.125785548e+001 -8.292144520e+000 -8.292144520e+000 +4.4056e+000 +3.0322e+000
15 +1.790889677e+001 +1.790889677e+001 -1.164110323e+001 -1.164110323e+001 +4.6533e+000 +1.1865e+000
30 +1.455817743e+001 +1.455817743e+001 -1.499182257e+001 -1.499182257e+001 +5.8270e+000 +4.4455e+000
43 +1.748000407e+000 +1.748000407e+000 -2.780199959e+001 -2.780199959e+001 +4.3853e+000 +3.0232e+000
248 +7.738369588e-001 +7.738369588e-001 -2.877616304e+001 -2.877616304e+001 -1.7462e+000 -5.1835e+000
9066 +6.973634063e-001 +6.973634063e-001 -2.885263659e+001 -2.885263659e+001 -8.1640e-001 -4.3342e+000
9548 +5.826954847e-001 +5.826954847e-001 -2.896730452e+001 -2.896730452e+001 +2.3205e+000 -4.4741e+000
% function evaluation | noise-free fitness - Fopt (1.000000000000e+003) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.453033753e+001 +5.453033753e+001 +1.054530338e+003 +1.054530338e+003 +3.1220e-001 -6.0065e+000
3 +6.601898079e+000 +6.601898079e+000 +1.006601898e+003 +1.006601898e+003 +2.4536e-001 -3.7701e+000
42 +4.221276448e+000 +4.221276448e+000 +1.004221276e+003 +1.004221276e+003 +2.0875e-001 -3.7136e+000
76 +3.259272351e+000 +3.259272351e+000 +1.003259272e+003 +1.003259272e+003 +2.1569e-001 -3.7105e+000
94 +3.224915609e+000 +3.224915609e+000 +1.003224916e+003 +1.003224916e+003 +2.1988e-001 -3.7078e+000
108 +2.246162344e+000 +2.246162344e+000 +1.002246162e+003 +1.002246162e+003 +2.2114e-001 -3.7080e+000
124 +2.188524543e+000 +2.188524543e+000 +1.002188525e+003 +1.002188525e+003 +2.2038e-001 -3.7082e+000
131 +2.167937058e+000 +2.167937058e+000 +1.002167937e+003 +1.002167937e+003 +2.2077e-001 -3.7081e+000
% function evaluation | noise-free fitness - Fopt (-4.456000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.637543636e+001 +4.637543636e+001 +1.815436362e+000 +1.815436362e+000 +2.2389e+000 +3.2117e+000
2 +2.775495821e+001 +2.775495821e+001 -1.680504179e+001 -1.680504179e+001 +8.5659e-001 +2.9391e+000
3 +6.988288946e+000 +6.988288946e+000 -3.757171105e+001 -3.757171105e+001 +1.0127e+000 +3.6384e+000
79 +5.883870052e+000 +5.883870052e+000 -3.867612995e+001 -3.867612995e+001 +5.9669e+000 +9.3139e-001
324 +2.405823538e+000 +2.405823538e+000 -4.215417646e+001 -4.215417646e+001 -2.7136e+000 -4.6367e+000
2367 +1.646573658e+000 +1.646573658e+000 -4.291342634e+001 -4.291342634e+001 +4.5043e+000 +1.5902e+000
4104 +1.553779186e+000 +1.553779186e+000 -4.300622081e+001 -4.300622081e+001 -4.6290e+000 +8.9603e-001
4189 +1.244534295e+000 +1.244534295e+000 -4.331546570e+001 -4.331546570e+001 -4.0730e+000 -5.6315e-003
4506 +1.098458950e+000 +1.098458950e+000 -4.346154105e+001 -4.346154105e+001 +4.7224e+000 -1.1037e-001
% function evaluation | noise-free fitness - Fopt (6.442000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.056659748e+001 +6.056659748e+001 +1.249865975e+002 +1.249865975e+002 -4.7016e-001 +2.8153e+000
2 +5.166451857e+001 +5.166451857e+001 +1.160845186e+002 +1.160845186e+002 +2.8185e+000 +3.5960e+000
3 +3.565824839e+001 +3.565824839e+001 +1.000782484e+002 +1.000782484e+002 +4.7310e-001 +3.7650e+000
7 +2.274476079e+001 +2.274476079e+001 +8.716476079e+001 +8.716476079e+001 -6.6012e-001 +3.0642e+000
9 +2.070411137e+001 +2.070411137e+001 +8.512411137e+001 +8.512411137e+001 +3.8543e-001 +3.0987e+000
11 +1.981726713e+001 +1.981726713e+001 +8.423726713e+001 +8.423726713e+001 -4.2532e-001 +3.1280e+000
13 +1.037315685e+001 +1.037315685e+001 +7.479315685e+001 +7.479315685e+001 -3.7969e-002 +3.0729e+000
16 +2.083934025e+000 +2.083934025e+000 +6.650393402e+001 +6.650393402e+001 -1.5743e-001 +3.1316e+000
88 +1.972238942e+000 +1.972238942e+000 +6.639223894e+001 +6.639223894e+001 -3.4568e-001 +3.1103e+000
2117 +1.211529024e+000 +1.211529024e+000 +6.563152902e+001 +6.563152902e+001 +6.2923e-001 -8.8266e-001
3079 +1.183401465e+000 +1.183401465e+000 +6.560340146e+001 +6.560340146e+001 +1.3467e+000 -6.8012e-001
3092 +1.122503716e+000 +1.122503716e+000 +6.554250372e+001 +6.554250372e+001 +1.3460e+000 -6.7972e-001
3105 +1.115654033e+000 +1.115654033e+000 +6.553565403e+001 +6.553565403e+001 +1.3457e+000 -6.7956e-001
