% function evaluation | noise-free fitness - Fopt (6.870000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.211970855e+001 +1.211970855e+001 -1.184902914e+002 -1.184902914e+002 -2.2569e+000 +2.7985e+000 +4.4363e+000 +2.8963e+000 +5.2274e+000
4 +1.095871445e+001 +1.095871445e+001 -1.196512856e+002 -1.196512856e+002 -2.4610e+000 +2.1089e+000 +4.3177e+000 +3.5698e+000 +4.8346e+000
11 +1.010007889e+001 +1.010007889e+001 -1.205099211e+002 -1.205099211e+002 -2.3397e+000 +3.6490e+000 +4.1577e+000 +2.9188e+000 +4.8649e+000
29 +3.698550318e+000 +3.698550318e+000 -1.269114497e+002 -1.269114497e+002 -2.2601e+000 +2.6017e+000 +4.4389e+000 +2.9418e+000 +3.8539e+000
167 +2.551704586e+000 +2.551704586e+000 -1.280582954e+002 -1.280582954e+002 -2.0813e+000 +4.3918e+000 +4.9315e+000 +3.0322e+000 +3.6145e+000
183 +1.800817501e+000 +1.800817501e+000 -1.288091825e+002 -1.288091825e+002 -1.9563e-001 +4.8085e+000 +4.1164e+000 +4.5297e+000 +3.2887e+000
16997 +1.237421031e+000 +1.237421031e+000 -1.293725790e+002 -1.293725790e+002 -2.1530e+000 +7.4144e-001 -1.5639e+000 +1.4272e+000 -3.7133e+000
19601 +6.382834104e-001 +6.382834104e-001 -1.299717166e+002 -1.299717166e+002 +8.2440e-001 -2.4457e+000 +3.6716e-001 +4.4083e+000 -3.0122e+000
353134 +6.192722613e-001 +6.192722613e-001 -1.299907277e+002 -1.299907277e+002 +5.9063e-001 -3.2123e-001 +1.0578e+000 +1.5649e+000 +3.7753e+000
357956 +5.103823139e-001 +5.103823139e-001 -1.300996177e+002 -1.300996177e+002 -8.1043e-001 +1.2846e+000 -1.2278e+000 +2.3934e+000 -2.8116e+000
1657773 +4.057503307e-001 +4.057503307e-001 -1.302042497e+002 -1.302042497e+002 +2.3647e+000 -1.9456e-001 +4.5319e-001 +9.9431e-001 +1.6037e+000
% function evaluation | noise-free fitness - Fopt (-2.231200000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.498412588e+001 +1.498412588e+001 -2.081358741e+002 -2.081358741e+002 -1.7303e+000 -3.5213e+000 +4.4816e-001 +2.2372e+000 +9.3644e-002
2 +6.844239748e+000 +6.844239748e+000 -2.162757603e+002 -2.162757603e+002 -1.5283e+000 +7.2637e-001 +9.8769e-001 +1.2573e+000 +6.4235e-001
5 +3.753018621e+000 +3.753018621e+000 -2.193669814e+002 -2.193669814e+002 -1.5498e+000 -3.5044e+000 +7.0182e-001 +1.4492e+000 +9.9785e-001
151 +3.513442611e+000 +3.513442611e+000 -2.196065574e+002 -2.196065574e+002 +1.3447e+000 -3.0966e+000 -3.4846e-001 +2.0404e+000 +1.5986e+000
196 +2.893029457e+000 +2.893029457e+000 -2.202269705e+002 -2.202269705e+002 +4.6433e+000 -3.3693e+000 -1.8559e+000 +1.2038e-001 +1.8586e+000
693 +2.680610435e+000 +2.680610435e+000 -2.204393896e+002 -2.204393896e+002 +1.9172e+000 +8.4627e-001 +2.7165e+000 +1.9913e+000 +4.6633e+000
1414 +2.535450320e+000 +2.535450320e+000 -2.205845497e+002 -2.205845497e+002 -7.3625e-001 +2.3244e+000 +4.3615e-001 +4.7704e-001 +2.5348e+000
2602 +2.139890846e+000 +2.139890846e+000 -2.209801092e+002 -2.209801092e+002 -1.0958e+000 -1.1207e+000 +3.2457e+000 +3.7779e+000 -1.4653e-001
4847 +2.123510435e+000 +2.123510435e+000 -2.209964896e+002 -2.209964896e+002 +4.4888e+000 -7.2721e-001 +1.9455e+000 -6.1371e-001 +6.5306e-001
6194 +2.026199636e+000 +2.026199636e+000 -2.210938004e+002 -2.210938004e+002 +5.6938e-001 +5.5706e+000 -5.7131e+000 +3.3486e+000 +1.1674e-001
6824 +1.522687344e+000 +1.522687344e+000 -2.215973127e+002 -2.215973127e+002 -4.6912e+000 +4.2356e-001 +2.6077e+000 +2.3006e+000 +2.7142e+000
17261 +5.154555894e-001 +5.154555894e-001 -2.226045444e+002 -2.226045444e+002 +1.9992e+000 +1.2342e+000 -3.4419e+000 +2.3623e+000 -2.0161e+000
908305 +5.041064540e-001 +5.041064540e-001 -2.226158935e+002 -2.226158935e+002 +9.1105e-001 +9.3534e-001 -1.6255e+000 -3.2511e+000 +8.7827e-001
2597317 +2.955170523e-001 +2.955170523e-001 -2.228244829e+002 -2.228244829e+002 -1.3285e+000 -7.1750e-001 -3.1762e+000 -4.4706e-001 +1.7915e+000
% function evaluation | noise-free fitness - Fopt (-4.443000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.260412596e+001 +1.260412596e+001 -3.182587404e+001 -3.182587404e+001 -1.4597e+000 -3.7071e+000 -3.4458e+000 -3.2610e+000 -1.9348e+000
2 +6.699672754e+000 +6.699672754e+000 -3.773032725e+001 -3.773032725e+001 -1.7119e+000 -2.5977e+000 -3.2164e+000 -2.2414e+000 -7.2504e-001
11 +6.547304635e+000 +6.547304635e+000 -3.788269536e+001 -3.788269536e+001 -1.1834e+000 -1.6048e+000 -3.2837e+000 -4.0491e+000 -1.1049e-001
66 +4.182470353e+000 +4.182470353e+000 -4.024752965e+001 -4.024752965e+001 -1.6783e+000 -2.3282e+000 -3.2674e+000 -3.9214e+000 -2.1762e-001
