% function evaluation | noise-free fitness - Fopt (9.294000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.806211051e+003 +2.806211051e+003 +2.899151051e+003 +2.899151051e+003 +4.6191e+000 +9.5179e-001 +5.9508e+000 -1.0309e+000 -2.0095e+000 -3.0471e+000 -2.7127e+000 -2.9104e+000 -5.9147e+000 -3.8233e-001
2 +1.445118512e+003 +1.445118512e+003 +1.538058512e+003 +1.538058512e+003 +3.9874e+000 +3.0647e+000 +1.7836e+000 -1.4157e+000 +1.7174e-001 -4.0255e-002 -3.8299e+000 +3.4291e+000 -4.6021e+000 +2.6596e+000
17 +1.359499327e+003 +1.359499327e+003 +1.452439327e+003 +1.452439327e+003 +3.8889e+000 +6.2404e+000 +1.7617e+000 +7.9514e+000 -3.0435e+000 +2.0205e+000 -2.8936e+000 -1.0668e+001 -8.0178e+000 +4.9972e+000
32 +1.248146462e+003 +1.248146462e+003 +1.341086462e+003 +1.341086462e+003 -2.6088e+000 +2.9860e-001 +4.6057e+000 -1.0013e+000 -3.0856e+000 +1.1457e+000 -4.7686e+000 +9.8537e-001 -4.2049e+000 -2.8295e+000
56 +6.816226829e+002 +6.816226829e+002 +7.745626829e+002 +7.745626829e+002 +9.0287e+000 +6.1207e+000 +6.2446e-001 +3.7959e+000 -2.6743e+000 -5.4744e-001 -1.9602e+000 -9.6788e-002 -4.5893e+000 -4.1113e+000
125 +6.371530045e+002 +6.371530045e+002 +7.300930045e+002 +7.300930045e+002 -3.8101e-002 -4.2432e-001 -2.0866e+000 +9.3683e-001 +4.0529e-001 +1.1982e+000 -4.0251e+000 -5.7254e+000 +4.4543e-001 -3.4602e+000
148 +6.119929904e+002 +6.119929904e+002 +7.049329904e+002 +7.049329904e+002 +2.8780e+000 +3.8026e+000 +2.5654e+000 +7.8696e+000 +3.9991e+000 +7.2475e-001 -3.4227e+000 -1.5891e+000 -1.1771e+000 -1.1907e+000
163 +1.692862410e+002 +1.692862410e+002 +2.622262410e+002 +2.622262410e+002 +3.6574e+000 +2.9848e+000 +3.0435e+000 +2.8933e+000 +5.7614e+000 -2.1347e+000 +4.4642e-001 +6.3584e-001 +1.0919e-001 +1.3214e-001
210 +1.412345392e+002 +1.412345392e+002 +2.341745392e+002 +2.341745392e+002 +6.8116e-001 +3.0980e+000 +3.4198e+000 +5.7447e+000 -4.5200e-001 +5.7412e-001 -6.0699e-001 +1.3386e-001 +1.1499e+000 -1.4006e+000
227 +1.251178190e+002 +1.251178190e+002 +2.180578190e+002 +2.180578190e+002 +1.6395e-003 -2.0916e+000 +4.7329e+000 +7.6204e+000 +2.0598e+000 +7.1037e-001 -2.1991e-001 +4.2283e-001 +5.6693e-001 -4.3877e-001
240 +4.998047468e+001 +4.998047468e+001 +1.429204747e+002 +1.429204747e+002 +5.1674e-002 +2.8936e+000 +5.8829e-001 +3.4727e+000 +2.8289e+000 +1.0320e+000 +1.2325e+000 -1.7640e+000 +5.1140e+000 +3.6526e-001
331 +3.789693830e+001 +3.789693830e+001 +1.308369383e+002 +1.308369383e+002 +1.8625e+000 -1.8408e+000 +9.2924e-001 +4.0580e+000 +4.0281e+000 +1.0936e+000 +2.1843e+000 -8.8299e-001 -5.3046e-001 -5.0092e-001
688 +3.482425001e+001 +3.482425001e+001 +1.277642500e+002 +1.277642500e+002 +2.0747e+000 -1.4049e+000 +9.2885e-001 +5.0680e+000 +1.8986e+000 +1.1406e+000 +2.5695e-001 -1.5540e+000 +3.6402e-001 -1.6391e+000
717 +3.369260118e+001 +3.369260118e+001 +1.266326012e+002 +1.266326012e+002 +1.4912e+000 -4.9487e-001 +6.9118e-001 +5.0058e+000 +1.2254e+000 +1.4864e+000 -7.7179e-002 -6.0678e-001 +1.6772e+000 -1.6982e+000
766 +1.640247793e+001 +1.640247793e+001 +1.093424779e+002 +1.093424779e+002 +1.7817e+000 +1.1985e-001 +6.6458e-001 +5.2386e+000 +2.0639e+000 +1.9571e+000 +1.1243e-001 -1.7962e+000 +8.8858e-001 +6.7284e-002
840 +1.322087516e+001 +1.322087516e+001 +1.061608752e+002 +1.061608752e+002 +1.7591e+000 +2.3466e-001 +2.2134e-001 +5.1161e+000 +1.5609e+000 +1.3146e+000 +1.0311e-001 -5.7016e-001 +1.3044e+000 -5.6445e-001
1053 +1.218834202e+001 +1.218834202e+001 +1.051283420e+002 +1.051283420e+002 +1.4177e+000 +4.9477e-001 +4.5709e-001 +4.9476e+000 +1.6983e+000 +1.2054e+000 +3.0498e-001 -1.1482e+000 +1.9596e+000 +6.8463e-002
1233 +1.137371678e+001 +1.137371678e+001 +1.043137168e+002 +1.043137168e+002 +8.3080e-001 +2.6174e-001 +6.7030e-001 +4.9296e+000 +1.6378e+000 +1.9026e+000 +3.3042e-001 -1.1473e+000 +1.8630e+000 -2.0180e-002
1283 +9.615402055e+000 +9.615402055e+000 +1.025554021e+002 +1.025554021e+002 +1.0848e+000 +2.1575e-001 +5.5242e-001 +5.3120e+000 +1.8189e+000 +1.6640e+000 -2.5352e-002 -1.0669e+000 +1.9823e+000 +3.6379e-001
1347 +8.786612711e+000 +8.786612711e+000 +1.017266127e+002 +1.017266127e+002 +8.2601e-001 +3.7540e-001 +6.7104e-001 +4.9810e+000 +1.6546e+000 +1.6494e+000 -3.2675e-002 -9.9783e-001 +1.9309e+000 +8.5929e-002
1887 +7.889753103e+000 +7.889753103e+000 +1.008297531e+002 +1.008297531e+002 +1.2317e+000 +6.8248e-001 +4.3031e-001 +4.8613e+000 +1.8389e+000 +1.7414e+000 -7.4879e-002 -6.9421e-001 +1.7935e+000 +3.1209e-001
1908 +7.604695002e+000 +7.604695002e+000 +1.005446950e+002 +1.005446950e+002 +1.2263e+000 +6.4477e-001 +5.1436e-001 +5.0527e+000 +1.8036e+000 +1.7023e+000 -2.1428e-001 -5.1490e-001 +1.8473e+000 +4.4658e-001
2044 +7.052053741e+000 +7.052053741e+000 +9.999205374e+001 +9.999205374e+001 +8.1868e-001 +7.7435e-002 +7.1696e-001 +4.9419e+000 +1.8355e+000 +2.0462e+000 +8.8822e-002 -1.2378e+000 +1.9172e+000 +6.0200e-001
% function evaluation | noise-free fitness - Fopt (3.535000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.675342623e+002 +3.675342623e+002 +4.028842623e+002 +4.028842623e+002 +5.5510e-001 +3.1566e-001 +3.3813e+000 +4.3928e+000 -2.7098e-001 -3.1343e+000 +2.4674e+000 +2.7518e-001 +3.1576e+000 -2.1918e+000
